gene,category,evidence,source
NR4A3,immediate_early_stress,Nor1 orphan nuclear receptor transcription factor induced rapidly downstream of TCR/calcium signaling.,agy_gemini_3.1_pro_2026-07-14
OAS3,effector_activation,2'-5'-oligoadenylate synthetase 3 interferon-stimulated antiviral effector enzyme induced during activation.,agy_gemini_3.1_pro_2026-07-14
P4HA2,hypoxia_HIF,Defaulted to hypoxia (MSigDB HALLMARK_HYPOXIA); collagen hydroxylase transcriptionally regulated by HIF-1α.,agy_gemini_3.1_pro_2026-07-14
PAK1,effector_activation,p21-activated kinase 1 recruited downstream of TCR to orchestrate immunological synapse actin remodeling.,agy_gemini_3.1_pro_2026-07-14
PLAUR,hypoxia_HIF,Defaulted to hypoxia (MSigDB HALLMARK_HYPOXIA); urokinase plasminogen activator receptor (uPAR) regulated by HIF-1α.,agy_gemini_3.1_pro_2026-07-14
PLK3,immediate_early_stress,"Polo-like kinase 3 stress kinase rapidly induced by DNA damage, hypoxia, and checkpoint signals.",agy_gemini_3.1_pro_2026-07-14
PLXNB2,effector_activation,Semaphorin receptor Plexin B2 upregulated during T-cell activation to regulate migration.,agy_gemini_3.1_pro_2026-07-14
RAB34,effector_activation,Small GTPase Rab34 upregulated upon T-cell activation to control secretory vesicle export.,agy_gemini_3.1_pro_2026-07-14
RGS16,immediate_early_stress,Regulator of G-protein signaling 16 immediate-early gene induced by TCR activation (NFAT) to feedback-regulate GPCRs.,agy_gemini_3.1_pro_2026-07-14
SDC4,hypoxia_HIF,Defaulted to hypoxia (MSigDB HALLMARK_HYPOXIA); syndecan-4 cell-surface proteoglycan regulated by HIF-1α.,agy_gemini_3.1_pro_2026-07-14
SEMA4A,effector_activation,Semaphorin 4A costimulatory ligand/receptor upregulated on activated T cells to play roles in lineage choice.,agy_gemini_3.1_pro_2026-07-14
SERPINE1,hypoxia_HIF,Defaulted to hypoxia (MSigDB HALLMARK_HYPOXIA); plasminogen activator inhibitor-1 (PAI-1) direct HIF-1α target.,agy_gemini_3.1_pro_2026-07-14
SLC4A11,other,Solute carrier family 4 member 11 is a membrane transport protein involved in basic physiological transport.,agy_gemini_3.1_pro_2026-07-14
SPINT1,other,Kunitz-type serine protease inhibitor regulating membrane homeostasis and tissue integrity.,agy_gemini_3.1_pro_2026-07-14
TIMP1,effector_activation,TIMP-1 metalloproteinase inhibitor strongly upregulated via AP-1/NF-κB to license T-cell tissue infiltration.,agy_gemini_3.1_pro_2026-07-14
TMEM205,other,Transmembrane protein 205 associated with secretory vesicle transport and cellular drug resistance.,agy_gemini_3.1_pro_2026-07-14
TNFSF14,effector_activation,LIGHT costimulatory ligand and effector cytokine transcriptionally induced upon TCR engagement.,agy_gemini_3.1_pro_2026-07-14
TNFSF9,effector_activation,4-1BBL costimulatory ligand induced on T cells downstream of TCR/NF-κB activation.,agy_gemini_3.1_pro_2026-07-14
TP73,immediate_early_stress,p53-related stress-responsive transcription factor induced by DNA damage and general cellular stress.,agy_gemini_3.1_pro_2026-07-14
UPP1,other,Uridine phosphorylase 1 metabolic enzyme in the pyrimidine salvage pathway supporting pyrimidine salvaging.,agy_gemini_3.1_pro_2026-07-14
ZBTB32,immediate_early_stress,Zinc finger BTB domain transcription factor acting as a rapid feedback repressor of activation.,agy_gemini_3.1_pro_2026-07-14
